id,name,description,price,type,rating,restaurant,restaurantName,keywords,url
1680962286272,Chicken Tikka,A chicken based dish which originated in south Asia,180,nonveg,4,1679928329354,Food Swing,nonveg| food| dish| chicken,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Ffood_items%2FChicken-Tikka.jpg?alt=media&token=0ba8191c-ada9-40fa-bfc6-1b125126ae31
1680962286273,Chicken Tikka,A chicken based dish which originated in south Asia,180,nonveg,4,1679977455746,THE PUNJABI'S KITCHEN,nonveg| food| dish| chicken,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Ffood_items%2FChicken-Tikka.jpg?alt=media&token=0ba8191c-ada9-40fa-bfc6-1b125126ae31
1680962286274,Chicken Tikka,A chicken based dish which originated in south Asia,180,nonveg,4,1679980561220,Mandarin Oak Mahakali,nonveg| food| dish| chicken,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Ffood_items%2FChicken-Tikka.jpg?alt=media&token=0ba8191c-ada9-40fa-bfc6-1b125126ae31
1680962286275,Chicken Tikka,A chicken based dish which originated in south Asia,180,nonveg,4,1679983321188,Sardarji's Kitchen,nonveg| food| dish| chicken,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Ffood_items%2FChicken-Tikka.jpg?alt=media&token=0ba8191c-ada9-40fa-bfc6-1b125126ae31
1680962286276,Chicken Tikka,A chicken based dish which originated in south Asia,180,nonveg,4,1680098024679,1522 Bar & Kitchen Mumbai,nonveg| food| dish| chicken,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Ffood_items%2FChicken-Tikka.jpg?alt=media&token=0ba8191c-ada9-40fa-bfc6-1b125126ae31
1680962286277,Chicken Tikka,A chicken based dish which originated in south Asia,180,nonveg,4,1680267988540,Shree Devi Restaurant & Bar,nonveg| food| dish| chicken,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Ffood_items%2FChicken-Tikka.jpg?alt=media&token=0ba8191c-ada9-40fa-bfc6-1b125126ae31
1680962286278,Chicken Tikka,A chicken based dish which originated in south Asia,180,nonveg,4,1680268002969,Malwani Aswad,nonveg| food| dish| chicken,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Ffood_items%2FChicken-Tikka.jpg?alt=media&token=0ba8191c-ada9-40fa-bfc6-1b125126ae31
1680962286279,Chicken Tikka,A chicken based dish which originated in south Asia,180,nonveg,4,1680268023554,BOMBAY ADDA,nonveg| food| dish| chicken,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Ffood_items%2FChicken-Tikka.jpg?alt=media&token=0ba8191c-ada9-40fa-bfc6-1b125126ae31
1680962286280,Chicken Tikka,A chicken based dish which originated in south Asia,180,nonveg,4,1680268055848,Candies,nonveg| food| dish| chicken,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Ffood_items%2FChicken-Tikka.jpg?alt=media&token=0ba8191c-ada9-40fa-bfc6-1b125126ae31
1680962286281,Chicken Tikka,A chicken based dish which originated in south Asia,180,nonveg,4,1680268089050,Konkan Spice,nonveg| food| dish| chicken,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Ffood_items%2FChicken-Tikka.jpg?alt=media&token=0ba8191c-ada9-40fa-bfc6-1b125126ae31
1680962286282,Chicken Tikka,A chicken based dish which originated in south Asia,180,nonveg,4,1680268104337,Mini Malvan,nonveg| food| dish| chicken,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Ffood_items%2FChicken-Tikka.jpg?alt=media&token=0ba8191c-ada9-40fa-bfc6-1b125126ae31
1680962286283,Chicken Tikka,A chicken based dish which originated in south Asia,180,nonveg,4,1680268912802,Hitchki,nonveg| food| dish| chicken,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Ffood_items%2FChicken-Tikka.jpg?alt=media&token=0ba8191c-ada9-40fa-bfc6-1b125126ae31
1680962286284,Chicken Tikka,A chicken based dish which originated in south Asia,180,nonveg,4,1680268991867,White lama villa,nonveg| food| dish| chicken,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Ffood_items%2FChicken-Tikka.jpg?alt=media&token=0ba8191c-ada9-40fa-bfc6-1b125126ae31
1680962286285,Chicken Tikka,A chicken based dish which originated in south Asia,180,nonveg,4,1680269012634,1BHK,nonveg| food| dish| chicken,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Ffood_items%2FChicken-Tikka.jpg?alt=media&token=0ba8191c-ada9-40fa-bfc6-1b125126ae31
1680962286286,Chicken Tikka,A chicken based dish which originated in south Asia,180,nonveg,4,1680269029393,Cafe Safar,nonveg| food| dish| chicken,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Ffood_items%2FChicken-Tikka.jpg?alt=media&token=0ba8191c-ada9-40fa-bfc6-1b125126ae31
1680962286287,Chicken Tikka,A chicken based dish which originated in south Asia,180,nonveg,4,1680269068085,Yazu - Pan Asian Supper Club,nonveg| food| dish| chicken,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Ffood_items%2FChicken-Tikka.jpg?alt=media&token=0ba8191c-ada9-40fa-bfc6-1b125126ae31
1680962286288,Chicken Tikka,A chicken based dish which originated in south Asia,180,nonveg,4,1680269081082,Glocal Junction Andheri,nonveg| food| dish| chicken,https://firebasestorage.googleapis.com/v0/b/nearesto.appspot.com/o/nearesto%2Ffood_items%2FChicken-Tikka.jpg?alt=media&token=0ba8191c-ada9-40fa-bfc6-1b125126ae31
